Time,direct_normal_solar
05:30:00,26
06:00:00,78
06:30:00,105.75
07:00:00,109.25
07:30:00,96
08:00:00,66
08:30:00,47.5
09:00:00,40.5
09:30:00,50.5
10:00:00,77.5
10:30:00,143.5
11:00:00,248.5
11:30:00,313.5
12:00:00,338.5
12:30:00,340.5
13:00:00,319.5
13:30:00,317.25
14:00:00,333.75
14:30:00,349.5
15:00:00,364.5
15:30:00,394.5
16:00:00,439.5
16:30:00,473.25
17:00:00,495.75
17:30:00,512
18:00:00,522
18:30:00,519.5
19:00:00,504.5
19:30:00,476
20:00:00,434
20:30:00,309.75
21:00:00,103.25
